,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOH,Anthony Davis,Kentucky,9,564,19401,13463,5769,1292,.514,.312,.799,34.4,23.9,10.2,2.3,86.8,.215,6.2,40.0
2,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,.474,.272,.715,24.6,8.4,5.4,1.2,21.0,.092,-1.8,0.6
3,3,WAS,Bradley Beal,Florida,9,605,20979,13303,2452,2436,.456,.377,.820,34.7,22.0,4.1,4.0,47.4,.108,1.8,19.9
4,4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,.412,.346,.694,28.2,13.1,2.6,2.8,8.8,.036,-2.1,-0.4
5,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.5,-1.6
6,6,POR,Damian Lillard,Weber State,9,682,24779,16815,2856,4514,.439,.375,.893,36.3,24.7,4.2,6.6,92.3,.179,4.8,42.6
7,7,GSW,Harrison Barnes,UNC,9,670,21176,9301,3385,1190,.452,.377,.800,31.6,13.9,5.1,1.8,38.8,.088,-1.0,5.5
8,8,TOR,Terrence Ross,Washington,9,607,15178,6896,1746,725,.419,.367,.835,25.0,11.4,2.9,1.2,23.1,.073,-0.7,5.1
9,9,DET,Andre Drummond,UConn,9,645,19832,9358,8839,872,.538,.135,.470,30.7,14.5,13.7,1.4,62.6,.152,1.3,16.6
10,10,NOH,Austin Rivers,Duke,9,588,14362,5338,1245,1348,.418,.350,.646,24.4,9.1,2.1,2.3,12.7,.043,-3.0,-3.6
11,11,POR,Meyers Leonard,Illinois,9,447,7158,2502,1737,395,.482,.390,.809,16.0,5.6,3.9,0.9,15.5,.104,-1.4,1.0
12,12,HOU,Jeremy Lamb,UConn,9,517,10961,5395,1919,823,.444,.344,.858,21.2,10.4,3.7,1.6,25.5,.112,0.8,7.6
13,13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-3.5,-1.1
14,14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.4,3.4
15,15,PHI,Maurice Harkless,St. John's,9,574,13156,4042,2086,549,.475,.321,.621,22.9,7.0,3.6,1.0,22.5,.082,-0.7,4.3
16,16,HOU,Royce White,Iowa State,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.121,-16.9,0.0
17,17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,.508,.286,.764,17.5,6.9,4.4,0.9,17.1,.113,-2.0,0.0
18,18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.5,3.6
19,19,ORL,Andrew Nicholson,St. Bonaventure,5,285,4080,1700,857,126,.467,.321,.773,14.3,6.0,3.0,0.4,3.8,.045,-3.6,-1.6
20,20,DEN,Evan Fournier,,9,565,16117,8097,1561,1504,.450,.379,.805,28.5,14.3,2.8,2.7,26.8,.080,-1.0,4.1
21,21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,.436,.272,.723,24.3,10.8,7.5,1.8,15.3,.113,-0.4,2.7
22,22,BOS,Fab Melo,Syracuse,1,6,36,7,3,0,.500,,.250,6.0,1.2,0.5,0.0,0.0,.021,-7.6,-0.1
23,23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,.441,.367,.847,12.8,5.0,1.5,0.8,3.0,.065,-1.9,0.1
24,24,CLE,Jared Cunningham,Oregon State,4,84,605,197,56,39,.347,.306,.674,7.2,2.3,0.7,0.5,0.2,.017,-5.7,-0.6
25,25,MEM,Tony Wroten,Washington,4,145,3076,1604,363,437,.413,.231,.647,21.2,11.1,2.5,3.0,-1.3,-.021,-3.4,-1.1
26,26,IND,Miles Plumlee,Duke,7,346,5658,1697,1562,178,.542,,.543,16.4,4.9,4.5,0.5,10.6,.090,-1.9,0.2
27,27,MIA,Arnett Moultrie,Mississippi State,2,59,729,210,180,12,.547,,.667,12.4,3.6,3.1,0.2,1.7,.113,-2.8,-0.1
28,28,OKC,Perry Jones,Baylor,3,143,1675,488,252,54,.420,.293,.660,11.7,3.4,1.8,0.4,1.7,.048,-3.5,-0.6
29,29,CHI,Marquis Teague,Kentucky,3,91,909,217,90,134,.343,.222,.661,10.0,2.4,1.0,1.5,-0.9,-.045,-6.5,-1.0
30,30,GSW,Festus Ezeli,Vanderbilt,3,170,2394,712,725,63,.513,,.557,14.1,4.2,4.3,0.4,5.9,.119,-2.0,0.0
